"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 26","827.82","841.80","845.30","827.82","1.12B","-1.35%"
"2023- 09- 25","839.17","856.79","859.04","839.17","869.43M","-2.12%"
"2023- 09- 22","857.35","851.93","860.68","847.56","1.03B","-0.39%"
"2023- 09- 21","860.68","875.52","879.82","859.51","1.05B","-2.50%"
"2023- 09- 20","882.72","883.74","886.65","874.92","1.02B","-0.13%"
"2023- 09- 19","883.89","891.57","894.26","882.42","1.05B","-0.83%"
"2023- 09- 18","891.29","892.18","896.37","889.99","906.67M","-0.86%"
"2023- 09- 15","899.03","900.62","902.40","897.11","941.82M","-0.05%"
"2023- 09- 14","899.47","888.19","899.47","886.46","1.02B","1.90%"
"2023- 09- 13","882.72","895.94","899.80","882.27","1.08B","-1.71%"
"2023- 09- 12","898.04","918.10","918.96","895.96","1.18B","-1.59%"
"2023- 09- 11","912.55","918.43","918.43","907.90","975.19M","-0.18%"
"2023- 09- 08","914.18","908.08","914.18","902.77","1.25B","0.86%"
"2023- 09- 07","906.36","914.63","921.79","902.95","1.28B","-1.26%"
"2023- 09- 06","917.95","923.61","927.28","916.08","1.09B","-0.38%"
"2023- 09- 05","921.48","918.85","922.65","913.02","1.08B","0.25%"
"2023- 09- 04","919.16","918.12","921.63","913.04","1.11B","-0.06%"
"2023- 09- 01","919.74","926.37","928.00","919.74","1.07B","-0.93%"
"2023- 08- 31","928.40","925.57","930.42","923.40","1.28B","0.50%"
"2023- 08- 30","923.81","925.08","926.44","921.05","1.28B","0.83%"
"2023- 08- 29","916.24","911.94","918.39","907.82","1.31B","0.75%"
"2023- 08- 28","909.38","907.53","909.48","901.84","1.07B","1.11%"
"2023- 08- 25","899.38","891.21","902.81","890.08","1.16B","-0.26%"
